source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.7 ETH|eth,700000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x8c93032eeac8cc614769b23ed92fe7a02cb0546b11880fa64189e96270dd1ee6,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,2000.0 USDC|eth,2000000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x8c93032eeac8cc614769b23ed92fe7a02cb0546b11880fa64189e96270dd1ee6,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 BNB|bsc,200000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x8c93032eeac8cc614769b23ed92fe7a02cb0546b11880fa64189e96270dd1ee6,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 BNB|bsc,200000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x8c93032eeac8cc614769b23ed92fe7a02cb0546b11880fa64189e96270dd1ee6,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x11af340398c8c8213d3780ef422b4a9a59765846,271.111736 USDC|eth,271111736,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x86d2d20275bb5abe867fefc8cacc43398c1e594d54251e85c19ed0d3dc1a174d,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x78886d6af3561a61a91c3f62a7134901cdf05b26,37 USDC|eth,37000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x4a62a8f1547d8fb4e7a480d4e6f0072d9b696723eaaf12e6a175e11798eb360d,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x78886d6af3561a61a91c3f62a7134901cdf05b26,37 USDC|eth,37000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x44529494e03c8f598e18451a8851bcacb60a7ed443fcab17b5ed8260a46d5107,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x78886d6af3561a61a91c3f62a7134901cdf05b26,37 .USDC|eth,37000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x4a2739166536796d46db4563e0234f682ce2dd887c8447ad661a165730541e05,
